CUSTID,SKU,CATEGORY,REF_COST,MAX_SELLPRICE,MAP,FINAL_PRICE
00227 ,0003066,L L ,0.43,0,0,4300
00227 ,0003067,L L ,0,0,0,0
00227 ,0003068,L L ,0,0,0,0
00227 ,0003069,L L ,0,0,0,0
00227 ,0003070,L L ,0,0,0,0
00227 ,0003071,L L ,0,0,0,0
00227 ,0032360,L L ,1.4372399999999999,0,0,14372.4
00227 ,0003073,L L ,2.99425,0,0,29942.5
00227 ,0003074,L L ,0,0,0,0
00227 ,0032261,L L ,0,0,0,0
00227 ,0033362,L L ,1.8117749999999997,0,0,18117.75
00227 ,0034288,L L ,2.367995,0,0,23679.95
00227 ,0032266,L L ,1.715,0,0,17150
00227 ,0057978,L L ,7.703849999999999,0,0,77038.5
00227 ,0049154,MIN ,1.4108499999999997,0,0,14108.5
00227 ,0003079,L L ,4.53096,0,0,45309.6
00227 ,0003080,L L ,0,0,0,0
00227 ,0029593,L L ,0,0,0,0
00227 ,0003081,L L ,1.6767799999999997,0,0,16767.8
00227 ,0022550,L L ,8.928955,0,0,89289.55
00227 ,0003083,L L ,3.312,0,0,33120
00227 ,0003084,L L ,2.0807499999999997,0,0,20807.5
00227 ,0022551,L L ,18.93178,0,0,189317.8
00227 ,0003086,L L ,1.2789,0,0,12789
00227 ,0003087,L L ,1.88,0,0,18800
00227 ,0003088,L L ,0,0,0,0
00227 ,0003089,L L ,2.3669799999999994,0,0,23669.8
00227 ,0003090,L L ,3.1444699999999997,0,0,31444.7
00227 ,0003096,L L ,3.3494999999999995,0,0,33495
00227 ,0003092,L L ,2.08,0,0,20800
00227 ,0003093,L L ,4.188904999999999,0,0,41889.05
00227 ,0003094,L L ,1.35,0,0,13500
00227 ,0003095,L L ,3.25,0,0,32500
00227 ,0028853,L L ,2.5882499999999995,0,0,25882.5
00227 ,0054122,L L ,1.5986249999999997,0,0,15986.25
00227 ,0003097,L L ,0,1,0,0
00227 ,0022552,L L ,1.1885649999999999,0,0,11885.65
00227 ,0003098,L L ,3.1058999999999997,0,0,31059
00227 ,0003099,L L ,1.6514049999999998,0,0,16514.05
00227 ,0003100,L L ,1.7792949999999996,0,0,17792.95
00227 ,0003101,L L ,1.8960199999999998,0,0,18960.2
00227 ,0068012,L L ,2.22894,0,0,22289.4
00227 ,0003102,L L ,0.9946999999999999,0,0,9947
00227 ,0036259,L L ,1.7051999999999998,0,0,17052
00227 ,0031394,L L ,3.045,0,0,30450
00227 ,0035017,L L ,0,0,0,0
00227 ,0022553,L L ,1.2981849999999997,0,0,12981.85
00227 ,0003104,L L ,2.02391,0,0,20239.1
00227 ,0031976,L L ,1.4372399999999999,0,0,14372.4
00227 ,0003105,L L ,0.54325,0,0,5432.5
00227 ,0003106,L L ,0.54325,0,0,5432.5
00227 ,0003107,L L ,0.82,0,0,8200
00227 ,0003109,L L ,1.4372399999999999,0,0,14372.4
